image_path,target,gender,skin_tone,age,intersection
images/test/Real/FFHQ/face_000000_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000001_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000002_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000003_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000004_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000005_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000006_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000007_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000008_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000009_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000010_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000011_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000012_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000013_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000014_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000015_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000016_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000017_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000018_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000019_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000020_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000021_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000022_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000023_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000024_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000025_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000026_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000027_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000028_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000029_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000030_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000031_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000032_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000033_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000034_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000035_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000036_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000037_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000038_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000039_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000040_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000041_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000042_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000043_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000044_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000045_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000046_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000047_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000048_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000049_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000050_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000051_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000052_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000053_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000054_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000055_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000056_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000057_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000058_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000059_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000060_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000061_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000062_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000063_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000064_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000065_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000066_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000067_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000068_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000069_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000070_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000071_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000072_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000073_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000074_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000075_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000076_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000077_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000078_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000079_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000080_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000081_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000082_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000083_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000084_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000085_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000086_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000087_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000088_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000089_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000090_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000091_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000092_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000093_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000094_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000095_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000096_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000097_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000098_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000099_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000100_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000101_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000102_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000103_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000104_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000105_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000106_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000107_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000108_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000109_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000110_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000111_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000112_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000113_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000114_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000115_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000116_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000117_mst8_female.jpg,1,Female,8,3,2
images/test/Real/FFHQ/face_000118_mst9_male.jpg,0,Male,9,4,5
images/test/DMs/Palette/face_000119_mst10_male.jpg,1,Male,10,5,5
images/test/Real/FFHQ/face_000120_mst1_female.jpg,0,Female,1,0,0
images/test/GANs/AttGAN/face_000121_mst2_female.jpg,1,Female,2,1,0
images/test/Real/FFHQ/face_000122_mst3_male.jpg,0,Male,3,3,3
images/test/DMs/StableDiffusion1.5/face_000123_mst4_male.jpg,1,Male,4,4,4
images/test/Real/FFHQ/face_000124_mst5_female.jpg,0,Female,5,5,1
images/test/deepfakes/dfdc/face_000125_mst6_female.jpg,1,Female,6,0,1
images/test/Real/FFHQ/face_000126_mst7_male.jpg,0,Male,7,1,4
images/test/GANs/StyleGAN2/face_000127_mst8_male.jpg,1,Male,8,3,5
images/test/Real/FFHQ/face_000128_mst9_female.jpg,0,Female,9,4,2
images/test/DMs/Palette/face_000129_mst10_female.jpg,1,Female,10,5,2
images/test/Real/FFHQ/face_000130_mst1_male.jpg,0,Male,1,0,3
images/test/GANs/AttGAN/face_000131_mst2_male.jpg,1,Male,2,1,3
images/test/Real/FFHQ/face_000132_mst3_female.jpg,0,Female,3,3,0
images/test/DMs/StableDiffusion1.5/face_000133_mst4_female.jpg,1,Female,4,4,1
images/test/Real/FFHQ/face_000134_mst5_male.jpg,0,Male,5,5,4
images/test/deepfakes/dfdc/face_000135_mst6_male.jpg,1,Male,6,0,4
images/test/Real/FFHQ/face_000136_mst7_female.jpg,0,Female,7,1,1
images/test/GANs/StyleGAN2/face_000137_mst8_female.jpg,1,Female,8,3,2
